abstracts
"Indoor photovoltaics are promising to enable self‐powered electronic devices for the Internet of Things. Here, reported is a triple‐anion CH3NH3PbI2−xBrClx perovskite film, of which the bandgap is specially designed for indoor light harvesting to achieve a record high efficiency of 36. 2% with distinctive high open circuit voltage (Voc) of 1. 028 V under standard 1000 lux fluorescent light. The involvement of both bromide and chloride suppresses the trap‐states and nonradiative recombination loss, exhibiting a remarkable ideality factor of 1. 097. The introduction of chloride successfully restrains the halide segregation of iodide and bromide, stabilizing the triple‐anion perovskite film. The devices show an excellent long‐term performance, sustaining over 95% of original efficiency under continuous light soaking over 2000 h. These findings show the importance and potential of I/Br/Cl triple‐anion perovskite with tailored bandgap and suppressed trap‐states in stable and efficient indoor light recycling. "
The energy loss in perovskite solar cells (PSCs) is a key factor that limits the full potential of photovoltaic performance to values below the Shockley–Queisser limit. 
"Organic–inorganic hybrid perovskite solar cells (PSCs) are currently attracting significant interest owing to their promising outdoor performance. However, the ability of indoor light harvesting of the perovskites and corresponding device performance are rarely reported. Here, the potential of planar PSCs in harvesting indoor light for low‐power consumption devices is investigated. Ionic liquid of 1‐butyl‐3‐methylimidazolium tetrafluoroborate ([BMIM]BF4) is employed as a modification layer of [6, 6]‐phenyl‐C61‐butyric acid methyl ester) (PCBM) in the inverted PSCs. The incorporation of [BMIM]BF4 not only paves the interface contact between PCBM and electrode, but also facilitates the electron transport and extraction owing to the efficient passivation of the surface trap states. Moreover, [BMIM]BF4 with excellent thermal stability can act as a protective layer by preventing the erosion of moisture and oxygen into the perovskite layer. The resulting devices present a record indoor power conversion efficiency (PCE) of 35. 20% under fluorescent lamps of 1000 lux, and an impressive PCE of 19. 30% under 1 sun illumination. The finding in this work verifies the excellent indoor performance of PSCs to meet the requirements of eco‐friendly economy. "
"Heavily Br-doped PSCs have a segregation-free effect in low-illuminance conditions, leading to the highest performances. "
"A novel biphenyl fumaronitrile as an acceptor and triphenylamine as donor conjugated building blocks are used for the first time to successfully synthesize donor–acceptor–donor molecule (D‐A‐D) 2, 3‐bis(4′‐(bis(4‐methoxyphenyl)amino)‐[1, 1′‐biphenyl]‐4‐yl)fumaronitrile (TPA‐BPFN‐TPA). The new TPA‐BPFN‐TPA with low‐lying HOMO is used as a dopant‐free hole‐transporting material (HTM) in mesoporous perovskite solar cells. The performance of the solar cells using this new HTM is compared with the traditional 2, 2′, 7, 7′‐tetrakis(N, N′‐di‐p‐methoxyphenylamino)‐ 9, 9′‐spirobifluorene (Spiro‐OMeTAD) HTM based devices for outdoor and indoor performance evaluation. Under 1 sun illumination, dopant‐free TPA‐BPFN‐TPA HTM based devices exhibit a power conversion efficiency (PCE) of 18. 4%, which is the record efficiency to date among D‐A‐D molecular design based dopant‐free HTMs. Moreover, the stability of unencapsulated TPA‐BPFN‐TPA‐based devices shows improvement over Spiro‐OMeTAD‐based devices in harsh relative humidity condition of 70%. Another exciting feature of the newly developed HTM is that the TPA‐BPFN‐TPA‐based devices exhibit improved PCE of 30% and 20. 1% at 1000 lux and 200 lux illuminations, respectively. This new finding provides a solution to fabricate low indoor (low light) and outdoor (1 sun) perovskite solar cell devices with high efficiency for cutting‐edge energy harvesting technology. "
"Electronic properties of perovskite lead-halide photovoltaic cells have been studied. The dc current/voltage characteristics were found to be well fitted by a standard diode equation under optical excitation and in the dark, while the impedance spectroscopy revealed a pronounced slow process under light illumination, which is absent in the dark. A simple model is proposed, which can explain all aspects of the observed behavior quantitatively and consistently. "
"The use of photovoltaic cells with an organometallic perovskite as the active layer for indoor dim‐light energy harvesting is evaluated. By designing the electron‐transporting materials and fabrication processes, the traps in the perovskite active layers and carrier dynamics can be controlled, and efficient devices are demonstrated. The best‐performing small‐area perovskite photovoltaics exhibit a promising high power conversion efficiency up to ≈27. 4%, no hysteresis behavior, and an exceptionally low maximum power point voltage variation of ≈0. 1 V under fluorescent lamp illumination at 100–1000 lux. The 5. 44 cm2 large‐area device also shows a high efficiency of 20. 4% and a promising long‐term stability. Compared with the most efficient inorganic and organic solar cells nowadays, the competitive efficiency, low fabrication cost, and low raw material costs make perovskite photovoltaics ideal for indoor light harvesting and as Internet of Things power provider. "
The high efficiency of the complex organic molecule Spiro-OMeTAD as a hole-transporting material for perovskite solar cells requires the use of hygroscopic dopants that decrease stability. Jeong et al. synthesized hydrophobic fluorinated analogs of Spiro-OMeTAD as hole-transporting materials that have favorable shifting of the electronic state for hole extraction and used them to fabricate perovskite solar cells. A champion device had a certified power conversion efficiency of 24. 8% and an open-circuit voltage near the Shockley-Queisser limit. These devices could maintain more than 87% of the original power conversion efficiency under 50% relative humidity for more than 500 hours. 
"The bandgap of the black α-phase of formamidinium-based lead triiodide (FAPbI 3 ) is near optimal for creating high-efficiency perovskite solar cells. However, this phase is unstable, and the additives normally used to stabilize this phase at ambient temperature—such as methylammonium, caesium, and bromine—widen its bandgap. Min et al. show that doping of the α-FAPbI 3 phase with methylenediammonium dichloride enabled power conversion efficiencies of 23. 7%, which were maintained after 600 hours of operation. Unencapsulated devices had high thermal stability and retained &gt;90% efficiency even after annealing for 20 hours at 150°C in air. "
"Although methods have been developed that create the photoactive black perovskite phase of formamidinium lead iodide (α-FAPbI 3 ), these routes are temperature and humidity sensitive and less compatible with large-scale solar cell production. Hui et al. report an alternative route in which vertically aligned lead iodide thin films are grown from the ionic liquid methylamine formate. Nanoscale channels in the films lower the barrier to permeation of formamidinium iodide and enable transformation to α-FAPbI 3, even at high humidity and room temperature. Solar cells made with these films have power conversion efficiencies as high as 24. 1% that display high stability. "
